0.976 day
Index Velocity Densities ElectronDensities Temperature
0 871.66905 4.2537191e-09 2.5953807e+14 7.6395577
1 877.44269 4.2537191e-09 2.5953807e+14 7.6395577
2 894.99407 4.2537191e-09 2.5953818e+14 7.6395631
3 931.1571 4.2537191e-09 2.5953902e+14 7.6396057
4 990.30752 4.2537271e-09 2.595454e+14 7.6399042
5 1050.8676 4.2539537e-09 2.5958444e+14 7.6411983
6 1115.1545 4.2563604e-09 2.5982137e+14 7.6459592
7 1183.3741 4.2683079e-09 2.6087549e+14 7.6633367
8 1255.767 4.290997e-09 2.6371868e+14 7.731212
9 1332.5886 4.3396835e-09 2.7241733e+14 7.9602375
10 1414.1098 4.4544275e-09 2.9143309e+14 8.4296149
11 1500.618 4.5246516e-09 3.0701338e+14 8.9518221
12 1592.4183 4.4847278e-09 3.1158088e+14 9.4037655
13 1689.8346 4.4455251e-09 3.1419621e+14 9.8550664
14 1793.2102 4.447639e-09 3.1903258e+14 10.379049
15 1902.9099 4.3994558e-09 3.1979518e+14 10.948374
16 2019.3205 4.3470889e-09 3.1932012e+14 11.522305
17 2142.8525 4.208863e-09 3.1164409e+14 12.124502
18 2273.9416 3.9917243e-09 2.9743422e+14 12.831006
19 2413.05 3.7930141e-09 2.8397132e+14 13.606841
20 2560.6684 3.6302037e-09 2.7263648e+14 14.359674
21 2717.3174 3.5073561e-09 2.6388196e+14 14.987036
22 2883.5494 3.3138095e-09 2.4951447e+14 15.318475
23 3059.9506 2.9791252e-09 2.2436522e+14 15.289258
24 3247.1432 2.5902535e-09 1.9510482e+14 14.969911
25 3445.7872 2.2034686e-09 1.6604443e+14 14.440003
26 3656.5834 1.8468188e-09 1.3935408e+14 13.707737
27 3880.275 1.3912642e-09 1.0533397e+14 12.725064
28 4117.6509 1.1328524e-09 8.6217155e+13 11.859862
29 4369.5484 1.1684656e-09 8.9162807e+13 11.529469
30 4636.8556 1.148792e-09 8.7294608e+13 11.63544
31 4920.5154 1.0118474e-09 7.6213558e+13 11.921714
32 5221.5281 9.2725933e-10 6.9291e+13 12.197139
33 5540.9552 8.8283977e-10 6.5655683e+13 12.347553
34 5879.9233 8.2528082e-10 6.1229145e+13 12.31655
35 6239.6278 7.5705975e-10 5.6104706e+13 12.155431
36 6621.3372 7.1430713e-10 5.2904472e+13 11.958818
37 7026.3978 6.6616568e-10 4.9319925e+13 11.676273
38 7456.2379 5.7839681e-10 4.2816388e+13 11.239634
39 7912.3734 5.0541307e-10 3.7433533e+13 10.752346
40 8396.4131 4.6040107e-10 3.4165648e+13 10.238277
41 8910.064 3.9717811e-10 2.9598398e+13 9.5601702
42 9455.1374 3.3951651e-10 2.5473698e+13 8.7358809
43 10033.556 2.9736932e-10 2.2425263e+13 7.787608
44 10647.359 2.4260984e-10 1.8269166e+13 6.6576689
45 11298.711 1.7426791e-10 1.3252657e+13 5.4332881
46 11989.91 1.2227455e-10 9.4035543e+12 4.4137255
47 12717.758 9.5434516e-11 7.3749773e+12 3.7191928
48 13366.678 7.5124012e-11 5.8001825e+12 3.173195
49 13844.261 6.2855836e-11 4.6405553e+12 2.7207691
50 14202.848 5.5337311e-11 3.5112707e+12 2.3404746
51 14515.991 4.8948067e-11 2.8743163e+12 2.0264449
52 14827.578 4.1164369e-11 2.0646451e+12 1.7409795
53 15144.14 3.5978916e-11 1.4506193e+12 1.4991011
54 15462.479 3.6438995e-11 1.4169431e+12 1.3073814
55 15747.372 4.6448549e-11 1.7191671e+12 1.1382272
56 15951.284 6.4766746e-11 2.1824584e+12 0.96773002
57 16097.282 7.3104628e-11 1.8643172e+12 0.81285232
58 16217.408 7.2787533e-11 1.0612823e+12 0.71910072
59 16332.271 6.4229021e-11 6.8475936e+11 0.67177895
60 16448.961 5.1096089e-11 4.7584888e+11 0.64169517
61 16578.431 4.2097724e-11 3.6176401e+11 0.61797297
62 16764.43 3.4850916e-11 2.8077153e+11 0.59178968
63 17197.386 2.4420507e-11 1.8411715e+11 0.54797196
64 17814.119 1.6428165e-11 1.1921949e+11 0.50662486
65 18538.329 1.1681418e-11 82888644000.0 0.47235709
66 19311.827 8.6232602e-12 60353227000.0 0.44342441
67 20095.425 6.2641315e-12 43473825000.0 0.4192557
68 20882.246 4.448735e-12 30689683000.0 0.39879718
69 21670.112 3.2713916e-12 22362564000.0 0.38101832
70 22434.436 2.5271449e-12 16888703000.0 0.3654993
71 23164.061 1.970927e-12 12601539000.0 0.35209001
72 23866.613 1.5043023e-12 8962865700.0 0.34078425
73 24570.981 1.1093249e-12 5897686000.0 0.33116987
74 25333.33 8.1927058e-13 3655662700.0 0.32237807
75 26215.178 6.1591847e-13 2115261900.0 0.31365929
76 27380.1 4.277889e-13 1012211500.0 0.3034718
77 28956.022 2.7466268e-13 513524160.0 0.29756652
78 30733.156 1.5423053e-13 337667470.0 0.29205776
79 32615.375 7.3863458e-14 279449510.0 0.29232794
80 34575.744 3.4173291e-14 222237930.0 0.29769491
81 36468.01 1.81069e-14 171347700.0 0.30371866
82 38208.634 1.1913687e-14 138209070.0 0.31031814
83 39748.086 8.7936984e-15 115036740.0 0.31267738
84 41106.46 6.1760661e-15 91199697.0 0.30933359
85 42343.588 4.0596674e-15 67684954.0 0.29870987
86 43523.622 2.6114796e-15 48226296.0 0.28465636
87 44700.88 1.7026315e-15 33897851.0 0.27059727
88 45889.301 1.1439006e-15 23940165.0 0.25964721
89 47092.02 7.760286e-16 16824467.0 0.25746173
90 48306.663 5.2965908e-16 11759645.0 0.25650988
91 49541.066 3.6276619e-16 8183908.7 0.25582287
92 50796.924 2.4920186e-16 5684657.5 0.25538095
93 52077.501 1.7154013e-16 3942785.2 0.25498411
94 53382.687 1.1833562e-16 2736152.8 0.25460186
95 54711.956 8.1825258e-17 1902931.3 0.25423015
96 56062.372 5.6758046e-17 1328409.6 0.25386742
97 57426.961 3.9569756e-17 932716.61 0.25351289
98 58799.741 2.7763565e-17 659094.78 0.25316676
99 60165.587 1.9673809e-17 469982.55 0.25283016
100 61517.179 1.4098369e-17 338391.73 0.25250164
101 62832.004 1.026611e-17 247223.36 0.252186
102 64096.6 7.6137577e-18 183737.43 0.25188667
103 65288.609 5.7750751e-18 139554.17 0.25160934
104 66385.51 4.497768e-18 108745.06 0.25135787
105 67373.465 3.6038798e-18 87102.975 0.25113434
106 68228.888 2.9825092e-18 72027.807 0.25094259
